,text,sexist
10,All my sons have grown up with computer games but I'm not interested. I see them as a male thing. MENTION203,True
14,Women have more intuition than men.,True
30,Women do not belong in politics,True
45,"On the average, men are more arrogant than women",True
55,A woman will never be truly fulfilled in life if she doesn’t have a committed long-term relationship with a man,True
86,"mmmm Good luck MENTION3536 😄 let us know how you go? Still think u & MENTION395 should enter #MKR 😄 more cooking, less bitching mmmm",True
104,I hate having guys for teachers,True
105,A female can't tell me nothing bout sports. Sorry I grew up in a sports crazed house.,True
119,women can't drive. The only exception: danica patrick.,True
123,RT MENTION2547 I'm not sexist but the Men's skill sets and abilities are just leagues above the women's. Much more entertaining. #Olympics,True
126,RT MENTION2783 MENTION3161 I'm not sexist but i just don't believe in women being president,True
137,if a women don't know how to cook and take care of house she ain't a real women.,True
138,Women are more envious than men.,True
139,Soccer is 1 of two sports (tennis) where the women's version is not painful to watch due to inferior athletes. im right,True
147,"Ever consider they're not FOR you and no one cares? MENTION3450 I'm not sexist, but nothing bores me more than feminist novels.",True
149,MENTION3569 MENTION487: I'm not sexist but fuck if you're a woman and you can't Cook get your shit together.,True
152,"“She’s so beautiful she’s so precious,” he said and I thought, “welcome to being a woman."" #everydaysexism… https://t.co/4mfF4WbZq2",True
156,RT MENTION1004 Go ahead and call me sexist but I do not trust girls in a gun store.,True
162,MENTION1059 I have only ever seen female OBGYNs I don’t feel comfortable with the men. Period.,True
185,Men want power more than women do,True
211,Men are instinctually more courageous than women in the face of danger,True
222,Almost any woman is better off in the home than in a job or profession,True
227,The husband should handle the money.,True
231,"I think all women should be in the 49kg weight division, sports or not.",True
235,Withholding favors is on of the primary ways women obtain their goals,True
240,MENTION1342 No one watches women’s basketball I mean seriously not a lot of people do. So the pay is go… https://t.co/m9DD9njlak,True
243,Every woman ought to have a man she adores,True
258,Women have more need for security than men,True
267,A man can scarcely maintain respect for his fiancee if they have sexual relations before they are married,True
282,You've got a strong grip for a girl. https://t.co/9xuILE3D3d #aquarius #cnd #banthebomb #peace #love #ageofaquarius,True
287,A husband has the right to expect that his wife be obliging and dutiful at all times,True
292,“MENTION2045: I think a flight attendant is a woman's job.” I agreeeeeee,True
295,"RT MENTION1592 Call me sexist or whatever you wish, but for some reason i really hate when girls talk about football.",True
308,Men would be lost in this world if women weren’t there to guide them,True
324,"When a woman is on her period, she cannot concentrate very well",True
327,"In alighting from an automobile, the most desirable procedure when possible is for he man to walk around in front of the car and hold the door open for the lady",True
332,MENTION3227 MENTION269 its a very good point. I renege at a man telling me what skin care and make up I should use,True
339,"For real. Asking a woman to move smh!! naw no go""MENTION3988: MENTION3549 lmao IDC IDC! Call your male friends""",True
344,"""Love me like a woman but make love to me like a man""... #morning #laughs MENTION54",True
345,"In choosing a husband, a woman will do well to put ambition at the top of her list of desirable qualities",True
349,"On the average, women should be regarded as less capable of contributing to economic production than are men.",True
356,A Good Wife knows it doesn't matter who does a managerial job as long as its the best man for the job #IWD2017,True
372,Lol! R/t MENTION660: I don't think women should participate in Movember...like the physically growing a mustache part.,True
